alpha,sigma,epsilon,reward_mean,reward_std,reward_ci95,conv_mean,conv_std,conv_ci95,n
0.000000,0.400000,0.000000,-1.575902,0.485800,0.173841,1188.333333,44.881709,16.060713,30
0.000000,0.400000,0.250000,-1.552269,0.686653,0.245716,1200.000000,0.000000,0.000000,30
0.000000,0.400000,0.500000,-1.470419,0.419589,0.150148,1200.000000,0.000000,0.000000,30
0.000000,0.400000,0.750000,-1.912452,0.714801,0.255788,1200.000000,0.000000,0.000000,30
0.000000,0.400000,1.000000,-1.665175,0.618153,0.221203,1200.000000,0.000000,0.000000,30
0.000000,0.600000,0.000000,-2.200602,0.754417,0.269965,1193.333333,36.514837,13.066667,30
0.000000,0.600000,0.250000,-2.642042,1.131515,0.404908,1195.000000,27.386128,9.800000,30
0.000000,0.600000,0.500000,-2.346044,0.822159,0.294206,1200.000000,0.000000,0.000000,30
0.000000,0.600000,0.750000,-2.713698,1.041108,0.372556,1200.000000,0.000000,0.000000,30
0.000000,0.600000,1.000000,-2.556054,0.721981,0.258358,1200.000000,0.000000,0.000000,30
0.000000,0.800000,0.000000,-3.136582,0.800507,0.286458,1178.333333,58.255284,20.846386,30
0.000000,0.800000,0.250000,-3.610989,1.080338,0.386594,1193.333333,36.514837,13.066667,30
0.000000,0.800000,0.500000,-3.273431,1.005883,0.359951,1200.000000,0.000000,0.000000,30
0.000000,0.800000,0.750000,-3.439397,1.167780,0.417885,1200.000000,0.000000,0.000000,30
0.000000,0.800000,1.000000,-3.575293,1.241415,0.444235,1200.000000,0.000000,0.000000,30
0.000000,1.000000,0.000000,-3.807415,1.456731,0.521284,1173.333333,63.968383,22.890792,30
0.000000,1.000000,0.250000,-4.121380,1.323634,0.473656,1190.000000,38.056220,13.618243,30
0.000000,1.000000,0.500000,-3.470997,1.602810,0.573558,1200.000000,0.000000,0.000000,30
0.000000,1.000000,0.750000,-4.511209,1.645956,0.588998,1200.000000,0.000000,0.000000,30
0.000000,1.000000,1.000000,-4.050832,1.269963,0.454450,1200.000000,0.000000,0.000000,30
0.400000,0.200000,0.000000,-0.425325,0.143891,0.051491,1200.000000,0.000000,0.000000,30
0.400000,0.200000,0.250000,-0.502279,0.195952,0.070120,1200.000000,0.000000,0.000000,30
0.400000,0.200000,0.500000,-0.489226,0.209860,0.075097,1200.000000,0.000000,0.000000,30
0.400000,0.200000,0.750000,-0.541052,0.152104,0.054430,1200.000000,0.000000,0.000000,30
0.400000,0.200000,1.000000,-0.574548,0.199848,0.071515,1200.000000,0.000000,0.000000,30
0.400000,0.400000,0.000000,-0.950726,0.322396,0.115368,1200.000000,0.000000,0.000000,30
0.400000,0.400000,0.250000,-0.926401,0.245057,0.087693,1196.666667,18.257419,6.533333,30
0.400000,0.400000,0.500000,-1.036087,0.358850,0.128413,1200.000000,0.000000,0.000000,30
0.400000,0.400000,0.750000,-1.061348,0.323787,0.115866,1200.000000,0.000000,0.000000,30
0.400000,0.400000,1.000000,-1.030850,0.375236,0.134277,1200.000000,0.000000,0.000000,30
0.400000,0.600000,0.000000,-1.338153,0.552350,0.197656,1193.333333,36.514837,13.066667,30
0.400000,0.600000,0.250000,-1.425366,0.513143,0.183626,1200.000000,0.000000,0.000000,30
0.400000,0.600000,0.500000,-1.534229,0.462393,0.165465,1200.000000,0.000000,0.000000,30
0.400000,0.600000,0.750000,-1.607088,0.626894,0.224331,1200.000000,0.000000,0.000000,30
0.400000,0.600000,1.000000,-1.565308,0.503661,0.180233,1200.000000,0.000000,0.000000,30
0.400000,0.800000,0.000000,-2.035645,0.783350,0.280318,1193.333333,36.514837,13.066667,30
0.400000,0.800000,0.250000,-1.925519,0.676645,0.242134,1196.666667,18.257419,6.533333,30
0.400000,0.800000,0.500000,-1.787074,0.559101,0.200072,1200.000000,0.000000,0.000000,30
0.400000,0.800000,0.750000,-1.988586,0.661760,0.236808,1200.000000,0.000000,0.000000,30
0.400000,0.800000,1.000000,-2.101166,0.749532,0.268217,1200.000000,0.000000,0.000000,30
0.400000,1.000000,0.000000,-2.139578,0.667038,0.238697,1195.000000,27.386128,9.800000,30
0.400000,1.000000,0.250000,-2.265987,0.717127,0.256621,1198.333333,9.128709,3.266667,30
0.400000,1.000000,0.500000,-2.327520,0.767727,0.274727,1200.000000,0.000000,0.000000,30
0.400000,1.000000,0.750000,-2.305109,0.645586,0.231020,1191.666667,32.385963,11.589168,30
0.400000,1.000000,1.000000,-2.526470,0.982902,0.351727,1200.000000,0.000000,0.000000,30
